"iso","country","gbdRegion","year","neoMR","postneoMR","age1_5MR","under5MR","neoDeaths","postneoDeaths","age1_5Deaths","under5Deaths"
"AFG","Afghanistan","Asia, South",1980,84.25,64.739998,79.900002,211.97,57855,41676,49920,149451
"AFG","Afghanistan","Asia, South",1981,82.400002,62.459999,76.150002,205.23,55984,40046,47784,143814
"AFG","Afghanistan","Asia, South",1982,80.5,60.27,72.529999,198.59,53907,38293,45544,137743
"AFG","Afghanistan","Asia, South",1983,78.610001,58.23,69.279999,192.38,51782,36512,43194,131488
"AFG","Afghanistan","Asia, South",1984,76.970001,56.380001,66.379997,186.82001,49882,34779,40853,125513
"AFG","Afghanistan","Asia, South",1985,75.559998,54.759998,63.619999,181.78,48369,33249,38645,120264
"AFG","Afghanistan","Asia, South",1986,74.25,53.560001,61.279999,177.52,47309,32143,36580,116033
"AFG","Afghanistan","Asia, South",1987,72.980003,52.220001,59.299999,173.49001,46761,31347,34814,112922
"AFG","Afghanistan","Asia, South",1988,71.839996,51.150002,57.5,169.96001,46812,30934,33488,111234
"AFG","Afghanistan","Asia, South",1989,70.809998,50,56.02,166.71001,47456,30879,32610,110945
"AGO","Angola","Sub-Saharan Africa, Central",1980,56.189999,94.989998,140.97,266.25,23374,36928,47381,107682
"AGO","Angola","Sub-Saharan Africa, Central",1981,55.669998,93.480003,138.46001,262.48001,23945,37609,48138,109692
"AGO","Angola","Sub-Saharan Africa, Central",1982,55.130001,91.860001,135.91,258.54001,24516,38251,48941,111707
"AGO","Angola","Sub-Saharan Africa, Central",1983,54.689999,90.540001,133.5,255.05,25127,38937,49790,113854
"AGO","Angola","Sub-Saharan Africa, Central",1984,54.169998,89.279999,131.16,251.59,25704,39684,50668,116056
"AGO","Angola","Sub-Saharan Africa, Central",1985,53.779999,88.169998,128.91,248.44,26335,40436,51553,118323
"AGO","Angola","Sub-Saharan Africa, Central",1986,53.32,87.18,126.72,245.35001,26931,41262,52428,120621
"AGO","Angola","Sub-Saharan Africa, Central",1987,53,86.260002,124.92,242.78,27594,42086,53284,122964
"AGO","Angola","Sub-Saharan Africa, Central",1988,52.669998,85.260002,123.11,240.13,28258,42902,54219,125379
"AGO","Angola","Sub-Saharan Africa, Central",1989,52.470001,84.68,121.35,237.96001,28974,43804,55184,127962
"ALB","Albania","Europe, Central",1980,9.7600002,25.83,7.4200001,42.509998,715,1857,508,3079
"ALB","Albania","Europe, Central",1981,10.04,26.700001,7.5900002,43.790001,743,1935,516,3194
"ALB","Albania","Europe, Central",1982,10.27,27.42,7.6999998,44.830002,771,2016,530,3317
