"iso","country","gbdRegion","year","neoMR","postneoMR","age1_5MR","under5MR","neoDeaths","postneoDeaths","age1_5Deaths","under5Deaths"
"AFG","Afghanistan","Asia, South",2000,62.57,41.75,43.75,141,66519,41354,39909,147782
"AFG","Afghanistan","Asia, South",2001,61.919998,41.09,43,139.14,67343,41774,40465,149582
"AFG","Afghanistan","Asia, South",2002,61.240002,40.529999,42.27,137.35001,68010,42144,40905,151059
"AFG","Afghanistan","Asia, South",2003,60.619999,39.82,41.43,135.39999,68694,42355,41231,152280
"AFG","Afghanistan","Asia, South",2004,60.02,39.240002,40.48,133.46001,69402,42548,41385,153336
"AFG","Afghanistan","Asia, South",2005,59.41,38.669998,39.560001,131.56,70164,42830,41379,154373
"AFG","Afghanistan","Asia, South",2006,58.82,38.02,38.639999,129.58,71034,43089,41311,155435
"AFG","Afghanistan","Asia, South",2007,58.130001,37.43,37.560001,127.44,71896,43679,41273,156848
"AFG","Afghanistan","Asia, South",2008,57.529999,36.900002,36.630001,125.55,72939,44046,41043,158027
"AFG","Afghanistan","Asia, South",2009,56.82,36.330002,35.639999,123.48,73931,44615,40990,159535
"AGO","Angola","Sub-Saharan Africa, Central",2000,46.130001,68.269997,92.699997,193.64,32155,45608,57338,135101
"AGO","Angola","Sub-Saharan Africa, Central",2001,45.07,65.720001,87.919998,186.27,32085,44941,56346,133373
"AGO","Angola","Sub-Saharan Africa, Central",2002,43.950001,63.029999,83.040001,178.60001,31861,44192,55005,131057
"AGO","Angola","Sub-Saharan Africa, Central",2003,43,60.41,78.419998,171.32001,31630,43324,53308,128261
"AGO","Angola","Sub-Saharan Africa, Central",2004,41.990002,57.669998,74.07,164.11,31254,42045,51413,124712
"AGO","Angola","Sub-Saharan Africa, Central",2005,41.07,55.290001,70.080002,157.58,30853,40654,49523,121031
"AGO","Angola","Sub-Saharan Africa, Central",2006,40.18,53.349998,66.68,151.98,30455,39796,47668,117918
"AGO","Angola","Sub-Saharan Africa, Central",2007,39.389999,51.599998,63.84,147.11,30137,38774,45689,114600
"AGO","Angola","Sub-Saharan Africa, Central",2008,38.610001,49.98,61.25,142.59,29880,37934,44204,112018
"AGO","Angola","Sub-Saharan Africa, Central",2009,37.860001,48.349998,59.040001,138.44,29707,37195,42912,109814
"ALB","Albania","Europe, Central",2000,5.2800002,12.72,4.4200001,22.27,275,668,274,1218
"ALB","Albania","Europe, Central",2001,5.0500002,12.11,4.2600002,21.290001,251,606,250,1107
"ALB","Albania","Europe, Central",2002,4.8499999,11.56,4.1199999,20.41,232,555,228,1015
"ALB","Albania","Europe, Central",2003,4.6700001,11.01,3.98,19.540001,216,512,209,938
"ALB","Albania","Europe, Central",2004,4.48,10.46,3.8299999,18.66,203,477,194,874
"ALB","Albania","Europe, Central",2005,4.3099999,10.01,3.71,17.940001,194,452,181,827
"ALB","Albania","Europe, Central",2006,4.1599998,9.6400003,3.6099999,17.32,188,436,170,794
"ALB","Albania","Europe, Central",2007,4.04,9.3000002,3.51,16.77,184,424,163,771
"ALB","Albania","Europe, Central",2008,3.9200001,9,3.4200001,16.26,181,415,158,753
"ALB","Albania","Europe, Central",2009,3.8099999,8.6599998,3.3399999,15.73,178,404,155,737
"AND","Andorra","Europe, Western",2000,4.3899999,2.0899999,0.66000003,7.1300001,3,2,0,5
"AND","Andorra","Europe, Western",2001,4.2199998,2.01,0.63999999,6.8499999,3,2,0,5
"AND","Andorra","Europe, Western",2002,4.0500002,1.9299999,0.61000001,6.5799999,3,2,0,5
"AND","Andorra","Europe, Western",2003,3.8900001,1.85,0.58999997,6.3099999,3,2,0,5
"AND","Andorra","Europe, Western",2004,3.73,1.77,0.56,6.0500002,3,2,0,5
"AND","Andorra","Europe, Western",2005,3.5799999,1.7,0.54000002,5.8099999,3,2,0,5
"AND","Andorra","Europe, Western",2006,3.4300001,1.63,0.51999998,5.5700002,3,2,0,5
"AND","Andorra","Europe, Western",2007,3.3,1.5700001,0.50999999,5.3600001,3,2,0,5
"AND","Andorra","Europe, Western",2008,3.1800001,1.51,0.49000001,5.1700001,3,1,0,5
"AND","Andorra","Europe, Western",2009,3.0699999,1.47,0.47,5.0100002,3,1,0,5
"ARE","United Arab Emirates","North Africa / Middle East",2000,5.0999999,1.55,0.38,7.02,287,88,25,399
"ARE","United Arab Emirates","North Africa / Middle East",2001,4.7399998,1.39,0.33000001,6.4499998,274,81,22,377
"ARE","United Arab Emirates","North Africa / Middle East",2002,4.4099998,1.25,0.28999999,5.9400001,261,75,20,356
"ARE","United Arab Emirates","North Africa / Middle East",2003,4.1100001,1.12,0.25,5.4699998,248,68,18,334
"ARE","United Arab Emirates","North Africa / Middle East",2004,3.8,1,0.20999999,5.0100002,233,62,16,310
"ARE","United Arab Emirates","North Africa / Middle East",2005,3.53,0.88999999,0.19,4.6100001,218,56,14,288
"ARE","United Arab Emirates","North Africa / Middle East",2006,3.28,0.80000001,0.16,4.2399998,203,50,12,266
"ARE","United Arab Emirates","North Africa / Middle East",2007,3.04,0.70999998,0.14,3.8900001,190,45,11,245
"ARE","United Arab Emirates","North Africa / Middle East",2008,2.8099999,0.63,0.12,3.5599999,177,40,9,226
"ARE","United Arab Emirates","North Africa / Middle East",2009,2.5899999,0.56,0.1,3.26,164,36,8,208
"ARG","Argentina","Latin America, Southern",2000,11.64,6.6599998,1.49,19.690001,8014,4589,1118,13721
"ARG","Argentina","Latin America, Southern",2001,11.32,6.3699999,1.4400001,19.030001,7741,4361,1040,13143
"ARG","Argentina","Latin America, Southern",2002,11.82,6.8200002,1.53,20.059999,8028,4506,994,13529
"ARG","Argentina","Latin America, Southern",2003,11.72,6.6999998,1.51,19.83,7961,4521,998,13479
"ARG","Argentina","Latin America, Southern",2004,10.97,6.0599999,1.38,18.32,7475,4190,1016,12681
