iso,country,gbdRegion,year,neoMR,postneoMR,age1_5MR,under5MR,neoDeaths,postneoDeaths,age1_5Deaths,under5Deaths
KWT,Kuwait,North Africa / Middle East,2010,5.27,2.03,.5,7.7800002,277,107,30,414
LAO,Lao People's Democratic Republic,"Asia, Southeast",2010,28.33,22.209999,19.389999,68.330002,4911,3792,3332,12035
LBN,Lebanon,North Africa / Middle East,2010,7,2.51,.73000002,10.21,465,167,53,685
LBR,Liberia,"Sub-Saharan Africa, West",2010,31.68,39.130001,31.469999,98.849998,4800,5757,4310,14867
LBY,Libyan Arab Jamahiriya,North Africa / Middle East,2010,8.54,3.3800001,1.05,12.93,1267,505,174,1946
LCA,Saint Lucia,Caribbean,2010,6.8299999,3.28,1.3099999,11.38,21,10,4,35
LKA,Sri Lanka,"Asia, Southeast",2010,7.0999999,2.2,.81,10.09,2572,798,321,3691
LSO,Lesotho,"Sub-Saharan Africa, Southern",2010,39.189999,35.959999,24.84,96.75,2314,2075,1410,5799
LTU,Lithuania,"Europe, Eastern",2010,3.3699999,2.5999999,.81999999,6.7800002,107,82,26,215
LUX,Luxembourg,"Europe, Western",2010,1.8,.86000001,.28999999,2.95,10,5,2,17
LVA,Latvia,"Europe, Eastern",2010,5.1799998,3.23,1.13,9.5100002,123,76,26,225
MAR,Morocco,North Africa / Middle East,2010,19.1,9.25,4.3600001,32.41,12528,6078,3043,21649
MDA,Moldova,"Europe, Eastern",2010,5.6300001,6.5900002,1.5,13.66,254,298,70,622
MDG,Madagascar,"Sub-Saharan Africa, East",2010,21.969999,25.68,24.610001,70.550003,15428,17805,16903,50136
MDV,Maldives,"Asia, Southeast",2010,8.9799995,3.5999999,1.5,14.03,53,22,10,85
MEX,Mexico,"Latin America, Central",2010,6.6399999,8.1599998,1.86,16.58,13273,16339,4167,33779
MHL,Marshall Islands,Oceania,2010,19.969999,12.54,5.4299998,37.52,27,17,7,51
MKD,"Macedonia, the Former Yugoslav Republic of","Europe, Central",2010,7.3499999,3.73,.77999997,11.82,163,83,18,264
MLI,Mali,"Sub-Saharan Africa, West",2010,46.950001,41.650002,81.610001,161.17999,26272,22523,41341,90136
MLT,Malta,"Europe, Western",2010,3.1800001,1.55,.5,5.23,12,6,2,20
MMR,Myanmar,"Asia, Southeast",2010,24.389999,17.74,13.9,55.02,24701,17807,14504,57012
MNE,Montenegro,"Europe, Central",2010,5.4099998,3.1800001,.88,9.4399996,41,24,7,72
MNG,Mongolia,"Asia, Central",2010,16.700001,12.55,4.8600001,33.759998,847,639,252,1739
MOZ,Mozambique,"Sub-Saharan Africa, East",2010,39.029999,57.470001,43.509998,133.67,34236,48618,34894,117749
MRT,Mauritania,"Sub-Saharan Africa, West",2010,33.209999,22.68,32.150002,85.510002,3649,2437,3372,9457
MUS,Mauritius,"Asia, Southeast",2010,9.3100004,2.9400001,.74000001,12.95,169,54,15,238
MWI,Malawi,"Sub-Saharan Africa, East",2010,26.93,35.43,37.689999,96.779999,16625,21406,21713,59743
MYS,Malaysia,"Asia, Southeast",2010,3.6500001,1.09,.37,5.0999999,2009,605,238,2852
NAM,Namibia,"Sub-Saharan Africa, Southern",2010,22.48,16.379999,17.07,54.91,1330,955,998,3284
NER,Niger,"Sub-Saharan Africa, West",2010,31.299999,43.369999,94.709999,161.08,26215,35318,70346,131879
NGA,Nigeria,"Sub-Saharan Africa, West",2010,41.27,40.52,83.540001,156.98,252619,239621,467326,959565
NIC,Nicaragua,"Latin America, Central",2010,11.28,11.38,4.1599998,26.6,1588,1602,620,3809
NLD,Netherlands,"Europe, Western",2010,2.75,1.08,.44,4.2600002,499,197,86,781
NOR,Norway,"Europe, Western",2010,1.95,1.03,.40000001,3.3699999,114,60,24,198
NPL,Nepal,"Asia, South",2010,25.379999,12.65,9.96,47.290001,18562,9277,7633,35473
NZL,New Zealand,Australasia,2010,2.73,2.47,.58999997,5.7800002,161,146,36,342
