"iso","country","gbdRegion","year","neoMR","postneoMR","age1_5MR","under5MR","neoDeaths","postneoDeaths","age1_5Deaths","under5Deaths"
"AFG","Afghanistan","Asia, South",1970,104.38,88.980003,126.04,286.91,64710,49952,62417,177079
"AFG","Afghanistan","Asia, South",1971,102.18,86.089996,120.79,278.59,64719,49586,61335,175639
"AFG","Afghanistan","Asia, South",1972,99.970001,83.550003,115.4,270.35999,64660,49200,60262,174121
"AFG","Afghanistan","Asia, South",1973,98.169998,80.889999,110.32,262.56,64383,48009,60108,172500
"AFG","Afghanistan","Asia, South",1974,96.190002,78.529999,105.46,255,64203,47583,58961,170747
"AFG","Afghanistan","Asia, South",1975,94.099998,76.099998,100.89,247.49001,63740,47053,57773,168566
"AFG","Afghanistan","Asia, South",1976,92.059998,73.669998,96.400002,240.03,63039,46299,56530,165868
"AFG","Afghanistan","Asia, South",1977,90.099998,71.349998,92.260002,232.97,62121,45365,55151,162637
"AFG","Afghanistan","Asia, South",1978,88.220001,69.239998,87.980003,226.02,60995,44329,53655,158979
"AFG","Afghanistan","Asia, South",1979,86.25,66.879997,83.900002,218.89999,59558,43081,51902,154541
"AGO","Angola","Sub-Saharan Africa, Central",1970,61.25,108.99,170.16,305.89001,19703,32786,44445,96934
"AGO","Angola","Sub-Saharan Africa, Central",1971,60.669998,107.57,167.14999,301.82999,19875,32878,44283,97036
"AGO","Angola","Sub-Saharan Africa, Central",1972,60.16,106.12,164.03,297.70001,20084,33044,44226,97354
"AGO","Angola","Sub-Saharan Africa, Central",1973,59.57,104.64,160.86,293.42001,20123,33102,44615,97840
"AGO","Angola","Sub-Saharan Africa, Central",1974,59.110001,103.08,157.92999,289.38,20451,33371,44673,98495
"AGO","Angola","Sub-Saharan Africa, Central",1975,58.689999,101.69,154.84,285.34,20847,33759,44859,99465
"AGO","Angola","Sub-Saharan Africa, Central",1976,58.150002,100.4,152.08,281.57001,21265,34286,45133,100683
